enter: [0], exit: [0], switch: [00] -> F[0000], [capacity, Location]: [4,0], full:0, door_open:0
enter: [1], exit: [0], switch: [00] -> F[0001], [capacity, Location]: [3,1], full:0, door_open:1
enter: [1], exit: [0], switch: [01] -> F[0011], [capacity, Location]: [2,2], full:0, door_open:1
enter: [0], exit: [0], switch: [01] -> F[0011], [capacity, Location]: [2,2], full:0, door_open:0
enter: [1], exit: [0], switch: [11] -> F[0111], [capacity, Location]: [1,3], full:0, door_open:1
enter: [0], exit: [1], switch: [01] -> F[0101], [capacity, Location]: [2,1], full:0, door_open:1
enter: [1], exit: [0], switch: [00] -> F[0111], [capacity, Location]: [1,3], full:0, door_open:1
enter: [0], exit: [1], switch: [00] -> F[0110], [capacity, Location]: [2,0], full:0, door_open:1
enter: [0], exit: [1], switch: [00] -> F[0110], [capacity, Location]: [3,0], full:0, door_open:1
enter: [1], exit: [0], switch: [01] -> F[0111], [capacity, Location]: [2,3], full:0, door_open:1
enter: [1], exit: [0], switch: [00] -> F[1111], [capacity, Location]: [1,3], full:0, door_open:1
enter: [1], exit: [0], switch: [11] -> F[1111], [capacity, Location]: [0,3], full:1, door_open:0
enter: [1], exit: [0], switch: [00] -> F[1111], [capacity, Location]: [0,3], full:1, door_open:0
enter: [0], exit: [0], switch: [00] -> F[1111], [capacity, Location]: [0,3], full:0, door_open:0
enter: [0], exit: [1], switch: [00] -> F[1110], [capacity, Location]: [1,0], full:0, door_open:1
enter: [0], exit: [0], switch: [11] -> F[1110], [capacity, Location]: [1,0], full:0, door_open:0
enter: [0], exit: [1], switch: [10] -> F[1010], [capacity, Location]: [2,0], full:0, door_open:1
enter: [0], exit: [1], switch: [11] -> F[0010], [capacity, Location]: [3,0], full:0, door_open:1
enter: [0], exit: [1], switch: [01] -> F[0000], [capacity, Location]: [4,0], full:0, door_open:0
enter: [0], exit: [0], switch: [00] -> F[0000], [capacity, Location]: [4,0], full:0, door_open:0
